evaluation_id,param_0,param_1,param_2,param_3,objective_0,fitness_score,feasible,evaluation_time_ms
0,1730.41,0.00871213,0.0503616,0.0388898,-389.991,-389.991,true,2
1,1011.48,0.018701,0.0317002,0.0109733,-1859.08,-1859.08,true,2
2,1339.17,0.0810602,0.0408856,0.0688063,70.5526,70.5526,true,2
3,790.312,0.0728843,0.057976,0.0194665,-1948.95,-1948.95,true,2
4,1572.84,0.0244346,0.00727776,0.00234189,-704.629,-704.629,true,2
5,741.843,0.0341886,0.0897391,0.075395,-160.289,-160.289,true,2
6,1997.95,0.0670457,0.0999258,0.061674,-590.269,-590.269,true,2
7,887.971,0.0369,0.0805459,0.0725594,-80.1008,-80.1008,true,2
8,1465.46,0.029997,0.0634954,0.0869673,56.9808,56.9808,true,2
9,238.696,0.0142646,0.0462393,0.0846386,75.3492,75.3492,true,2
10,1080.8,0.079578,0.0381599,0.0231057,-621.796,-621.796,true,2
11,1678.56,0.0474939,0.06913,0.0997395,60.6796,60.6796,true,2
12,470.521,0.0549742,0.0782875,0.0591912,-292.752,-292.752,true,2
13,599.871,0.0646521,0.021191,0.0936187,107.352,107.352,true,2
14,512.856,0.0874572,0.00491415,0.0500658,2155.11,2155.11,true,2
15,1332.65,0.0421325,0.0126239,0.0425081,100.291,100.291,true,2
17,356.563,0.00259748,0.0916901,0.0292689,-2227.72,-2227.72,true,3
18,1153.33,0.0574689,0.071874,0.0538384,-305.056,-305.056,true,3
19,1892.63,0.0918643,0.0272786,0.00772528,-2502.19,-2502.19,true,3
16,187.753,0.0989605,0.017958,0.0319208,73.2777,73.2777,true,2
20,100,1e-06,1e-06,0.001,4.9,4.9,true,105
21,100,1e-06,1e-06,0.001,4.9,4.9,true,105
22,100,1e-06,1e-06,0.001,4.9,4.9,true,105
23,100,1e-06,1e-06,0.001,4.9,4.9,true,208
25,100,1e-06,1e-06,0.001,4.9,4.9,true,208
24,100,1e-06,1e-06,0.001,4.9,4.9,true,208
26,100,1e-06,1e-06,0.001,4.9,4.9,true,313
27,100,1e-06,1e-06,0.001,4.9,4.9,true,313
28,100,1e-06,1e-06,0.001,4.9,4.9,true,313
29,100,1e-06,1e-06,0.001,4.9,4.9,true,416
30,100,1e-06,1e-06,0.001,4.9,4.9,true,416
31,100,1e-06,1e-06,0.001,4.9,4.9,true,416
32,100,1e-06,1e-06,0.001,4.9,4.9,true,521
33,100,1e-06,1e-06,0.001,4.9,4.9,true,521
34,100,1e-06,1e-06,0.001,4.9,4.9,true,521
35,100,1e-06,1e-06,0.001,4.9,4.9,true,626
37,100,1e-06,1e-06,0.001,4.9,4.9,true,626
36,100,1e-06,1e-06,0.001,4.9,4.9,true,626
38,100,1e-06,1e-06,0.001,4.9,4.9,true,733
39,100,1e-06,1e-06,0.001,4.9,4.9,true,733
40,100,1e-06,1e-06,0.001,4.9,4.9,true,733
41,100,1e-06,1e-06,0.001,4.9,4.9,true,859
42,100,1e-06,1e-06,0.001,4.9,4.9,true,859
43,100,1e-06,1e-06,0.001,4.9,4.9,true,859
45,100,1e-06,1e-06,0.001,4.9,4.9,true,971
44,100,1e-06,1e-06,0.001,4.9,4.9,true,971
46,100,1e-06,1e-06,0.001,4.9,4.9,true,971
47,100,1e-06,1e-06,0.001,4.9,4.9,true,1081
48,100,1e-06,1e-06,0.001,4.9,4.9,true,1081
49,100,1e-06,1e-06,0.001,4.9,4.9,true,1081
