evaluation_id,param_0,param_1,param_2,objective_0,fitness_score,feasible,evaluation_time_ms
0,9.67825,7659.93,19.3884,-12.5658,-12.5658,true,3
1,8.4131,763.298,55.8565,-12.1194,-12.1194,true,3
2,9.45658,1350.6,40.0523,-13.5148,-13.5148,true,3
3,7.67362,4495.22,0.278349,-35.1951,-35.1951,true,3
4,2.62546,8280.56,15.0387,-7.69155,-7.69155,true,3
5,4.40104,9112.12,93.7648,-7.45455,-7.45455,true,3
6,0.588668,2401.52,86.993,-4.74021,-4.74021,true,3
8,7.27685,9605.54,68.2909,-10.0113,-10.0113,true,3
9,0.342024,2878.53,9.48,-10.119,-10.119,true,3
10,6.79018,5818.16,71.7986,-10.6107,-10.6107,true,3
11,8.64132,6563.98,44.7224,-11.8292,-11.8292,true,3
13,5.61297,5398.84,32.0134,-11.2848,-11.2848,true,3
14,3.38162,7121.39,60.1275,-7.80402,-7.80402,true,3
15,6.29191,8527.92,53.6892,-10.0755,-10.0755,true,3
16,1.58822,3641.62,45.1396,-6.4394,-6.4394,true,4
17,1.30658,1755.02,26.8185,-8.40573,-8.40573,true,4
18,3.60272,6354.88,80.0211,-7.7074,-7.7074,true,4
19,5.45446,3106.2,76.6754,-10.3135,-10.3135,true,4
7,2.28462,4581.83,97.7367,-5.11487,-5.11487,true,3
12,4.78656,137.702,20.1136,-12.4195,-12.4195,true,3
20,0.01,1,0.1,-10.4885,-10.4885,true,105
22,0.01,1,0.1,-10.4885,-10.4885,true,105
21,0.01,1,0.1,-10.4885,-10.4885,true,105
23,5.005,3334,25.075,-12.0814,-12.0814,true,208
25,5.005,3334,25.075,-12.0814,-12.0814,true,208
24,5.005,3334,25.075,-12.0814,-12.0814,true,208
26,2.5075,6667,50.05,-6.89797,-6.89797,true,312
28,2.5075,6667,50.05,-6.89797,-6.89797,true,312
27,2.5075,6667,50.05,-6.89797,-6.89797,true,312
29,7.5025,1112,75.025,-11.0354,-11.0354,true,417
31,7.5025,1112,75.025,-11.0354,-11.0354,true,417
30,7.5025,1112,75.025,-11.0354,-11.0354,true,417
32,1.25875,4445,6.34375,-7.27698,-7.27698,true,521
33,1.25875,4445,6.34375,-7.27698,-7.27698,true,521
34,1.25875,4445,6.34375,-7.27698,-7.27698,true,521
35,6.25375,7778,31.3188,-10.8369,-10.8369,true,628
36,6.25375,7778,31.3188,-10.8369,-10.8369,true,628
37,6.25375,7778,31.3188,-10.8369,-10.8369,true,628
38,3.75625,2223,56.2938,-10.1014,-10.1014,true,734
39,3.75625,2223,56.2938,-10.1014,-10.1014,true,734
40,3.75625,2223,56.2938,-10.1014,-10.1014,true,734
41,8.75125,5556,81.2688,-11.2331,-11.2331,true,844
43,8.75125,5556,81.2688,-11.2331,-11.2331,true,844
42,8.75125,5556,81.2688,-11.2331,-11.2331,true,844
44,0.634375,8889,12.5875,-15.0419,-15.0419,true,952
45,0.634375,8889,12.5875,-15.0419,-15.0419,true,952
46,0.634375,8889,12.5875,-15.0419,-15.0419,true,952
47,5.62937,371.333,37.5625,-11.7194,-11.7194,true,1060
48,5.62937,371.333,37.5625,-11.7194,-11.7194,true,1060
49,5.62937,371.333,37.5625,-11.7194,-11.7194,true,1060
