evaluation_id,param_0,param_1,param_2,objective_0,fitness_score,feasible,evaluation_time_ms
0,16.6058,0.88203,4.41116,0.0447381,0.0447381,true,2
1,77.0602,0.447734,6.46669,0.0221135,0.0221135,true,2
2,34.1658,1.09342,5.00861,0.0317602,0.0317602,true,2
4,99.8258,0.276832,1.36626,0.0509481,0.0509481,true,2
3,60.0838,0.990253,5.58983,0.0298,0.0298,true,2
5,80.467,1.02825,9.24713,0.0172115,0.0172115,true,2
6,23.2268,0.654516,0.486124,0.343486,0.343486,true,2
8,40.9893,0.341409,2.65826,0.0454876,0.0454876,true,2
9,72.7614,1.33527,3.63411,0.0202321,0.0202321,true,2
10,58.0345,1.17946,2.07937,0.0533505,0.0533505,true,2
12,13.9648,0.751353,7.90434,0.0256044,0.0256044,true,2
14,29.7995,0.581867,2.49723,0.0710772,0.0710772,true,2
15,24.8338,0.710325,8.13687,0.0243798,0.0243798,true,3
13,64.0036,0.866907,9.62833,0.0193523,0.0193523,true,2
11,48.0841,1.27808,7.50008,0.0142017,0.0142017,true,2
7,87.27,1.26552,8.80964,0.0114533,0.0114533,true,2
19,51.0124,0.227428,0.8615,0.086625,0.086625,true,3
17,43.4549,0.407014,6.76635,0.0211722,0.0211722,true,3
18,95.0018,0.547975,5.13718,0.0283379,0.0283379,true,3
16,84.7075,0.109691,3.32859,0.0123938,0.0123938,true,3
20,21.7773,0.620713,0.805762,0.219029,0.219029,true,112
21,21.7773,0.620713,0.805762,0.219029,0.219029,true,112
22,21.7773,0.620713,0.805762,0.219029,0.219029,true,112
23,21.7773,0.620713,0.805762,0.219029,0.219029,true,112
24,24.5898,1.39108,0.960449,0.0670663,0.0670663,true,224
25,24.5898,1.39108,0.960449,0.0670663,0.0670663,true,224
26,24.5898,1.39108,0.960449,0.0670663,0.0670663,true,224
27,24.5898,1.39108,0.960449,0.0670663,0.0670663,true,225
28,19.9316,0.54225,1.8209,0.0954936,0.0954936,true,345
29,19.9316,0.54225,1.8209,0.0954936,0.0954936,true,345
30,19.9316,0.54225,1.8209,0.0954936,0.0954936,true,345
31,19.9316,0.54225,1.8209,0.0954936,0.0954936,true,345
32,17.6465,0.22364,1.75322,0.0493569,0.0493569,true,468
34,17.6465,0.22364,1.75322,0.0493569,0.0493569,true,468
35,17.6465,0.22364,1.75322,0.0493569,0.0493569,true,469
33,17.6465,0.22364,1.75322,0.0493569,0.0493569,true,468
36,32.0605,0.544627,2.48799,0.0684363,0.0684363,true,589
37,32.0605,0.544627,2.48799,0.0684363,0.0684363,true,589
38,32.0605,0.544627,2.48799,0.0684363,0.0684363,true,590
39,32.0605,0.544627,2.48799,0.0684363,0.0684363,true,590
40,27.5781,0.806173,1.99492,0.095437,0.095437,true,716
42,27.5781,0.806173,1.99492,0.095437,0.095437,true,716
41,27.5781,0.806173,1.99492,0.095437,0.095437,true,716
43,27.5781,0.806173,1.99492,0.095437,0.095437,true,716
44,60.0977,0.219479,3.0874,0.0260079,0.0260079,true,861
45,60.0977,0.219479,3.0874,0.0260079,0.0260079,true,861
46,60.0977,0.219479,3.0874,0.0260079,0.0260079,true,862
47,60.0977,0.219479,3.0874,0.0260079,0.0260079,true,862
49,55.7031,1.04691,2.61367,0.0553104,0.0553104,true,1029
48,55.7031,1.04691,2.61367,0.0553104,0.0553104,true,1029
50,55.7031,1.04691,2.61367,0.0553104,0.0553104,true,1029
51,55.7031,1.04691,2.61367,0.0553104,0.0553104,true,1029
